ID,Reference,Verse,Notes,NoteFonts,Residue
44,Avian Influenza 5:2,You have to do these things to prevent Avian Influenza from killing you and your animals.~!~(NP you ) (VP have_to[Pre-Verbal] do ) (NP these[Proximity] thing+s[Plural] ) [ to (NP ) (VP prevent ) (NP Avian_Influenza ) [ from[Complementizer] (NP ) (VP kill+ing[Participle] ) (NP you ) (NP and (NP _ your ) animal+s[Plural] ) ] ] . ,,,
45,Avian Influenza 5:3,"1) When you buy chickens and ducks at the market, you have to be very careful. Chickens and ducks have Avian Influenza often. When you cut the meat, use a special board. You have to put only raw meat on that board. You must not put meat that you cooked on that board. After you cook the meat, wash your hands with soap thoroughly.",,,
46,Avian Influenza 5:4,"2) When you buy eggs at the market, you have to also be careful. Before you boil the eggs, wash them thoroughly. After you touch the eggs, wash your hands with soap.",,,
47,Avian Influenza 5:5,"3) You have to cook meat very well. Before you eat the meat, examine it. If you see blood, you have to cook the meat thoroughly. If you eat blood, you might become sick. 4) After you cook the meat, put it on a clean plate. You have to wash the plate that the raw meat touches. Then you have to dry the plate.~!~3) (NP you ) (VP have_to[Pre-Verbal] cook ) (NP meat ) (AdvP very[Degree] well ) . [ before (NP you ) (VP eat ) (NP the[Article] meat ) , ] (NP ) (VP examine ) (NP it ) . [ if (NP you ) (VP see ) (NP blood ) , ] (NP you ) (VP have_to[Pre-Verbal] cook ) (NP the[Article] meat ) (AdvP thoroughly ) . [ if (NP you ) (VP eat ) (NP blood ) , ] (NP you ) (VP might[Pre-Verbal] become ) (AdjP sick ) . 4) [ after (NP you ) (VP cook ) (NP the[Article] meat ) , ] (NP ) (VP put ) (NP it ) (NP on a[Article] (AdjP clean ) plate ) . (NP you ) (VP have_to[Pre-Verbal] wash ) (NP the[Article] plate [ that[Relativizer] (NP the[Article] (AdjP raw ) meat ) (VP touch+es[Third_Singular_Present] ) (NP ) ] ) . then (NP you ) (VP have_to[Pre-Verbal] dry ) (NP the[Article] plate ) . ",,,
48,Avian Influenza 5:6,"5) You have to wash all of the things that touch the raw meat. You have to wash these things with soap. You have to wash the knives, plates, and pots with soap. And before you use these things again, you have to dry them.~!~5) (NP you ) (VP have_to[Pre-Verbal] wash ) (NP (AdjP all of ) the[Pre-Nominal] thing+s[Plural] [ that[Relativizer] (NP ) (VP touch ) (NP the[Pre-Nominal] (AdjP raw ) meat ) ] ) . (NP you ) (VP have_to[Pre-Verbal] wash ) (NP these[Pre-Nominal] thing+s[Plural] ) (NP with soap ) . (NP you ) (VP have_to[Pre-Verbal] wash ) (NP the[Pre-Nominal] knives , ) (NP plate+s[Plural] , ) (NP and pot+s[Plural] ) (NP with soap ) . and [ before (NP you ) (VP use ) (NP these[Pre-Nominal] thing+s[Plural] ) (AdvP again ) , ] (NP you ) (VP have_to[Pre-Verbal] dry ) (NP them ) . ",,,
49,Avian Influenza 5:7,"6) If your chickens are sick, you must not sell them at the market. If your chickens are sick, you must not sell the eggs at the market. If you see a person selling chickens that are sick, don't buy them.",,,
50,Avian Influenza 5:8,"7) If Avian Influenza is in your village, don't go to meetings. If people who are sick go to those meetings, you might catch this disease from them.",,,
52,Avian Influenza 5:10,"11) Whenever you help a person who has Avian Influenza, you should put gloves on your hands. After you finish helping that person, you should wash your hands with soap thoroughly.~!~11) [ whenever (NP you ) (VP help ) (NP a[Article] person [ who[Relativizer] (NP ) (VP has ) (NP Avian_Influenza ) ] ) , ] (NP you ) (VP should[Mood] put ) (NP glove+s[Plural] on[Verbal_Adposition_moved_to_Direct_Object] ) (NP (NP _ your ) hand+s[Plural] ) . [ after (NP you ) (VP finish help+ing[Participle] ) (NP that[Proximity] person ) , ] (NP you ) (VP should[Mood] wash ) (NP (NP _ your ) hand+s[Plural] ) (NP with soap ) (AdvP thoroughly ) . ",,,
53,Avian Influenza 5:11,Footnote: An organization named The Summer Institute of Linguistics owns this story.,,,
18,Avian Influenza 2:6,The next morning Nano's rooster was dead. So Paulus and Nano put the rooster in a plastic bag. Then Nano burned the cage where the rooster had been. The three chickens that were sick were still living. But those chickens were very sick.~!~(NP the[Article] (AdjP next ) morning ) (NP (NP _ Nano+`s[Saxon_Genitive] ) rooster ) (VP was ) (AdjP dead ) . so (NP Paulus ) (NP and Nano ) (VP put ) (NP the[Article] rooster ) (NP in a[Article] (NP _ plastic ) bag ) . then (NP Nano ) (VP burn+ed[Past_Tense] ) (NP the[Article] cage [ where[Relativizer] (NP the[Article] rooster ) (VP had[Pre-Verbal] been ) (NP ) ] ) . (NP the[Article] (AdjP three ) chicken+s[Plural] [ that[Relativizer] (NP ) (VP were ) (AdjP sick ) ] ) (VP were[Pre-Verbal] (AdvP still ) liv+ing[Participle] ) . but (NP those[Proximity] chicken+s[Plural] ) (VP were ) (AdjP very[Degree] sick ) . ,,,
51,Avian Influenza 5:9,"8) If you think that you have a cold, you have to go immediately to the clinic. 9) Whenever you cough, and whenever you sneeze, you should cover your mouth with your hand. 10) If a person has a cold, he and his family have to stay at his house for ten days to prevent the disease from spreading.~!~8) [ if (NP you ) (VP think ) [ that[Complementizer] (NP you ) (VP have ) (NP a[Article] cold ) ] , ] (NP you ) (VP have_to[Pre-Verbal] go (AdvP immediately ) ) (NP to the[Article] clinic ) . 9) [ whenever (NP you ) (VP cough ) , ] [ and whenever (NP you ) (VP sneeze ) , ] (NP you ) (VP should[Pre-Verbal] cover ) (NP (NP _ your ) mouth ) (NP with (NP _ your ) hand ) . 10) [ if (NP a[Article] person ) (VP has ) (NP a[Article] cold ) , ] (NP he ) (NP and (NP _ his ) family ) (VP have_to[Pre-Verbal] stay ) (NP at (NP _ his ) house ) (NP for (AdjP ten ) days ) [ to (NP ) (VP prevent ) (NP the[Article] disease ) [ from[Complementizer] (NP ) (VP spread+ing[Participle] ) ] ] . ",,,
24,Avian Influenza 3:2,"Nano, Chief Isak, and the other people dug a hole that was one and a half meters deep. The hole was about twenty meters from the pen where Nano's chickens lived. Then Nano started a fire in that hole.~!~(NP Nano , ) (NP (NP _ Chief ) Isak , ) (NP and the[Pre-Nominal] (AdjP other ) people ) (VP dug ) (NP a[Pre-Nominal] hole [ that[Relativizer] (NP ) (VP was ) (AdjP (NP (AdjP one_and_a_half ) meter+s[Plural] ) deep ) ] ) . (NP the[Pre-Nominal] hole ) (VP was ) (NP (AdjP (AdjP about ) twenty ) meter+s[Plural] ) (NP from the[Pre-Nominal] pen [ where[Relativizer] (NP (NP _ Nano+`s[Saxon_Genitive] ) chicken+s[Plural] ) (VP liv+ed[Past_Tense] ) (NP ) ] ) . then (NP Nano ) (VP start+ed[Past_Tense] ) (NP a[Pre-Nominal] fire ) (NP in that[Pre-Nominal] hole ) . ",,,
26,Avian Influenza 3:4,The people also burned all of the food that Nano bought for the chickens. And they burned all of the baskets that Nano carried chickens in. They also burned the chickens' manure. They also caught all of the chickens that had walked near Nano's house. Then they killed those chickens and also burned them.~!~(NP the[Pre-Nominal] people ) (VP (AdvP also ) burn+ed[Past_Tense] ) (NP (AdjP all of ) the[Pre-Nominal] food [ that[Relativizer] (NP Nano ) (VP bought ) (NP ) (NP for the[Pre-Nominal] chicken+s[Plural] ) ] ) . and (NP they ) (VP burn+ed[Past_Tense] ) (NP (AdjP all of ) the[Pre-Nominal] basket+s[Plural] [ that[Relativizer] (NP Nano ) (VP carr+ied[Past_Tense] ) (NP chicken+s[Plural] ) (NP in ) ] ) . (NP they ) (VP (AdvP also ) burn+ed[Past_Tense] ) (NP (NP _ the[Pre-Nominal] chicken+s[Plural]+~[Saxon_Genitive] ) manure ) . (NP they ) (VP (AdvP also ) caught ) (NP (AdjP all of ) the[Pre-Nominal] chicken+s[Plural] [ that[Relativizer] (NP ) (VP had[Pre-Verbal] walk+ed[Past_Tense] ) (NP near (NP _ Nano+`s[Saxon_Genitive] ) house ) ] ) . then (NP they ) (VP kill+ed[Past_Tense] ) (NP those[Pre-Nominal] chicken+s[Plural] ) [ and (NP ) (VP (AdvP also ) burn+ed[Past_Tense] ) (NP them ) ] . ,,,
